NAME,TYPE,MAG,SIZE,RA,DEC
NGC3717,Galaxy,11.2,6.2',11 31.5,-30 19
NGC3718,Galaxy,10.8,8.2',11 32.6,+53 04
NGC3726,Galaxy,10.4,6',11 33.3,+47 02
NGC3729,Galaxy,11.4,2.9',11 33.8,+53 08
NGC3810,Galaxy,10.8,4.1',11 41.0,+11 28
NGC3813,Galaxy,11.6,2',11 41.3,+36 33
NGC3877,Galaxy,11,5.3',11 46.1,+47 30
NGC3893,Galaxy,10.5,4.5',11 48.6,+48 43
NGC3898,Galaxy,10.7,3.8',11 49.3,+56 05
NGC3900,Galaxy,11.4,3.5',11 49.2,+27 01
NGC3912,Galaxy,12.4,1.5',11 50.1,+26 29
NGC3918,nebula,8.4,12'',11 50.3,-57 11
NGC3923,Galaxy,9.8,6.6',11 51.0,-28 48
NGC3938,Galaxy,10.4,5.1',11 52.8,+44 07
NGC3941,Galaxy,10.3,3.5',11 52.9,+36 59
NGC3945,Galaxy,10.9,6.4',11 53.2,+60 40
NGC3949,Galaxy,11.1,2.9',11 53.7,+47 52
NGC3953,Galaxy,10.1,6.9',11 53.8,+52 19
NGC3962,Galaxy,10.7,3.4',11 54.7,-13 59
NGC3982,Galaxy,11,2.3',11 56.5,+55 07
NGC3998,Galaxy,10.7,2.7',11 57.9,+55 27
NGC4013,Galaxy,11.2,4.8',11 58.5,+43 57
NGC4026,Galaxy,10.8,4.7',11 59.4,+50 58
NGC4027,Galaxy,11.1,3.3',11 59.5,-19 16
NGC4030,Galaxy,10.6,4.2',12 00.4,-01 06
NGC4036,Galaxy,10.7,4',12 01.5,+61 54
NGC4038,Galaxy,10.3,3.4',12 01.9,-18 52
NGC4039,Galaxy,10.6,3.3',12 01.9,-18 53
NGC4041,Galaxy,11.3,2.7',12 02.2,+62 08
NGC4051,Galaxy,10.2,5.3',12 03.2,+44 32
NGC4085,Galaxy,12.4,2.5',12 05.4,+50 21
NGC4088,Galaxy,10.6,5.6',12 05.6,+50 32
NGC4096,Galaxy,10.9,6.5',12 06.0,+47 29
NGC4102,Galaxy,11.2,3.1',12 06.4,+52 43
NGC4105,Galaxy,10.6,2.8',12 06.7,-29 46
NGC4111,Galaxy,10.7,4.6',12 07.0,+43 04
NGC4125,Galaxy,9.7,6',12 08.1,+65 10
NGC4143,Galaxy,10.6,2.9',12 09.6,+42 32
NGC4147,cluster,10.3,4',12 10.1,+18 33
NGC4150,Galaxy,11.6,2.3',12 10.6,+30 24
NGC4151,Galaxy,10.8,6.8',12 10.5,+39 24
NGC4179,Galaxy,11,4.2',12 12.9,+01 18
NGC4203,Galaxy,10.9,3.5',12 15.1,+33 12
NGC4214,Galaxy,9.8,8.4',12 15.6,+36 20
NGC4216,Galaxy,10,7.8',12 15.9,+13 09
NGC4236,Galaxy,9.6,22.6',12 16.7,+69 28
